file,date,Label,ID_TUBE,Treatment,Landscape,Replicate,Size,Composition,indiv_per_frame,indiv_per_ul,bioarea_per_frame,bioarea_per_ul,major_mean,major_sd,minor_mean,minor_sd,gross_speed_mean,gross_speed_sd,net_speed_mean,net_speed_sd,sd_turning_mean,Rot,Spi,Ble,Pca,Col,Chi,Tet,Other
sample_00222,5/9/2016,222,222bA,Isolated,Blue,A,7.5,mixture,74.152,2.155581395,36762.2712,1068.670674,49.86934568,47.1514039,24.31624476,13.31648669,194.6165364,145.0890836,111.5300552,146.0627521,0.756298343,0.568837209,0.065348837,0.141162791,0.131860465,0.063255814,1.027674419,0.131860465,0.025581395
sample_00223,5/9/2016,223,223bA,Isolated,Blue,A,7.5,mixture,58.584,1.703023256,29056.482,844.6651744,47.32094519,37.22591102,24.69873987,14.63456915,180.5920833,102.3382871,80.25094595,109.5157994,0.692567568,0.624186047,0.067906977,0.199767442,0.03255814,0.026744186,0.691395349,0.05744186,0.003023256
sample_00224,5/9/2016,224,224bA,Isolated,Blue,A,13,mixture,44.912,1.305581395,21314.34,619.602907,49.90035786,44.28912326,24.91560991,13.25291984,176.8953455,136.2832085,90.94509091,140.2349322,0.720090909,0.354418605,0.016744186,0.138604651,0.070232558,0.020930233,0.67,0.034651163,0
sample_00225,5/9/2016,225,225bA,Isolated,Blue,A,7.5,mixture,56.576,1.644651163,29188.3824,848.4994884,52.04308901,46.85339768,25.48469128,13.32156622,181.3756698,101.4804342,96.16307143,116.601825,0.696428571,0.448604651,0.086976744,0.136744186,0.106511628,0.068372093,0.764883721,0.03255814,0
sample_00226,5/9/2016,226,226bA,Isolated,Blue,A,7.5,mixture,75.568,2.196744186,28643.7384,832.666814,43.44590896,45.45267359,22.67689026,11.77172325,175.62105,103.5151573,75.78125683,119.9245074,0.696065574,0.333488372,0.068372093,0.090465116,0.092325581,0.005813953,1.539534884,0.059534884,0.007209302
sample_00227,5/9/2016,227,227bA,Isolated,Blue,A,13,mixture,55.264,1.606511628,34217.7696,994.7026047,55.48229363,60.38378014,24.45270369,13.53685191,209.3990145,151.8207783,118.216478,165.4760233,0.685408805,0.379069767,0.161162791,0.034186047,0.161395349,0.01627907,0.82627907,0.028139535,0
sample_00228,5/9/2016,228,228bA,Isolated,Blue,A,7.5,mixture,72.944,2.120465116,25137.3456,730.7367907,41.42997649,34.17517745,22.98929882,12.33333352,177.2357012,99.77137368,75.68021978,113.9601754,0.661483516,0.451162791,0.01627907,0.054883721,0.125116279,0.078604651,1.329069767,0.046511628,0.018837209
sample_00229,5/9/2016,229,229bA,Isolated,Blue,A,7.5,mixture,46.624,1.355348837,25430.2416,739.2512093,52.53127566,38.24334592,26.10982078,13.9593754,174.3825276,91.06884902,90.74478261,102.829376,0.78426087,0.628372093,0.011395349,0.058139535,0.046744186,0.040465116,0.527209302,0.032325581,0.010697674
sample_00230,5/9/2016,230,230bA,Isolated,Blue,A,22.5,mixture,42.816,1.244651163,38507.3028,1119.398337,87.42742175,59.77857427,36.3144895,15.94297578,268.5162101,199.6678408,184.7995876,202.9239225,0.532783505,0.477674419,0.049302326,0.132093023,0.266046512,0.022790698,0.266976744,0.029767442,0
sample_00231,5/9/2016,231,231bA,Isolated,Blue,A,7.5,mixture,70.328,2.044418605,29870.2728,868.3218837,46.80298234,48.44112994,23.86594522,10.91677838,168.6623229,84.677743,73.54611111,85.34117253,0.748888889,0.546744186,0.085116279,0.056511628,0.056046512,0.004418605,1.242790698,0.049767442,0.003023256
sample_00232,5/9/2016,232,232bA,Isolated,Blue,A,7.5,mixture,52.224,1.518139535,30078.4752,874.3742791,53.80834465,44.86654634,27.6981985,13.39033739,192.75725,86.73889909,119.7413934,107.0616989,0.599590164,0.388372093,0.04627907,0.126511628,0.15255814,0.093488372,0.585581395,0.113953488,0.011395349
sample_00233,5/9/2016,233,233bA,Isolated,Blue,A,13,mixture,49.2,1.430232558,26820.072,779.6532558,55.42498046,46.52596679,27.34527753,15.36570432,229.8957638,170.6790373,148.0984685,181.5164011,0.673153153,0.399534884,0,0.091860465,0.203953488,0,0.626511628,0.104186047,0.004186047
sample_00234,5/9/2016,234,234bA,Isolated,Blue,A,13,mixture,59.376,1.726046512,22687.776,659.5283721,44.23246041,42.33539558,22.73411534,12.36375274,177.4100615,101.4252782,75.41343195,116.7060584,0.698461538,0.48372093,0.074186047,0.026744186,0.036046512,0.052325581,1.039302326,0,0.01372093
sample_00235,5/9/2016,235,235bA,Isolated,Blue,A,7.5,mixture,61.424,1.785581395,28708.992,834.5637209,53.99638278,51.75254301,26.1571631,12.28306243,192.7081302,176.3077386,118.7609091,188.7159498,0.631439394,0.214186047,0.092325581,0.143023256,0.099069767,0.073023256,0.952325581,0.211627907,0
sample_00236,5/9/2016,236,236bA,Isolated,Blue,A,7.5,mixture,70.768,2.057209302,24047.7984,699.063907,43.83795244,30.63662725,23.67274244,10.83403974,160.6053132,68.08782042,71.32764706,84.47864642,0.813823529,0.583255814,0.010465116,0.099767442,0.06,0.012093023,1.256744186,0.031395349,0.003488372
sample_00237,5/9/2016,237,237bA,Isolated,Blue,A,22.5,mixture,46.888,1.363023256,36730.3248,1067.742,79.70696742,65.07728988,33.26189301,17.16562356,229.2867309,146.7111794,154.1006,156.049238,0.6063,0.475348837,0.132093023,0.124651163,0.137674419,0.06,0.386046512,0.031162791,0.016046512
sample_00238,5/9/2016,238,238bA,Isolated,Blue,A,7.5,mixture,66.464,1.932093023,43858.584,1274.958837,66.21424853,56.56004066,30.34772739,15.3109444,196.1922027,124.3543752,117.2346259,134.4739332,0.660612245,0.518837209,0.125348837,0.199302326,0.200465116,0,0.854883721,0.026046512,0.007209302
sample_00239,5/9/2016,239,239bA,Isolated,Blue,A,7.5,mixture,38.68,1.124418605,17252.3844,501.5228023,47.84981911,39.75224416,25.09290982,14.3624456,182.3032322,118.6494823,97.5057,132.0714023,0.7262,0.390930233,0,0.03255814,0.091627907,0.010465116,0.589069767,0.009767442,0
sample_00240,5/9/2016,240,240bA,Isolated,Blue,A,22.5,mixture,53.76,1.562790698,44726.2236,1300.180919,75.69663948,63.20434731,31.96610875,16.35975794,214.1940297,147.7914523,137.5721186,157.333845,0.701016949,0.599534884,0.162325581,0.189767442,0.134186047,0.032093023,0.40627907,0.031860465,0.006744186
sample_00241,5/9/2016,241,241bA,Isolated,Blue,A,7.5,mixture,76.208,2.215348837,32430.3912,942.7439302,52.51708749,58.98883221,24.17670622,12.8327935,182.9982895,112.5884647,92.98423729,113.7862858,0.684124294,0.435348837,0.10255814,0.087209302,0.142790698,0.080697674,1.283488372,0.083255814,0
sample_00242,5/9/2016,242,242bA,Isolated,Blue,A,13,mixture,58.96,1.713953488,44810.2692,1302.624105,72.56927876,45.36230985,33.05902509,14.24099905,199.0013111,112.0222178,132.345935,127.9320875,0.608130081,0.923023256,0.046046512,0.205581395,0.128837209,0.069534884,0.33,0.004651163,0.00627907
sample_00243,5/9/2016,243,243bA,Isolated,Blue,A,13,mixture,47.472,1.38,29826.5976,867.0522558,64.39406661,48.44926429,30.33068267,14.40541603,197.5839908,124.0610789,112.5804167,121.8181127,0.683229167,0.503953488,0.040697674,0.201860465,0.088139535,0.083953488,0.44627907,0.015116279,0
